Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico,New Zealand,Hong Kong
2015,4,101.3266036,100.3106855,88.46543121,211.5162964,177.3994141,115.082016,88.6449492,80.55030724,211.1349182,105.4914856,167.3652652,52.30805969,204.8330863,54.12688065,80.8769492,76.98116302,43.44672399,222.4618378,124.7589722,88.04324051,255.4854736,103.5449524,105.3183517,63.93907057,106.0394803,18.37556839,63.60745,58.2704456
2015,5,106.0602255,103.0329648,126.9096375,146.3652496,213.9981537,174.17836,101.2445231,121.092212,197.7985687,113.3971939,140.7592143,63.05068207,100.4634459,146.4051819,88.85111164,87.52241516,76.00441342,124.7078629,124.7132187,98.42819405,272.4648438,102.3187027,127.5528107,68.25076576,92.59688317,26.27943611,54.01845,92.88010963
2015,6,117.495343,115.7895627,87.65711975,101.2318115,174.0278168,166.6377106,117.5637464,139.4208706,303.5277405,212.8246918,170.3089977,79.26368713,138.8986358,119.7779846,83.32765446,130.553772,106.169201,161.0889282,122.6560516,112.3847939,199.7822571,115.8802872,123.3431396,95.53624936,107.5227946,35.39496994,39.87363,105.2887209
2015,7,128.8092188,128.8778174,110.4217758,182.9708557,179.1213074,236.4630432,206.5369343,162.2249364,314.7603455,176.3980408,110.2063308,50.59239578,170.8589483,142.4301605,99.43162541,126.2726212,109.4635033,62.65724945,108.39608,135.5497131,179.1389313,98.73478699,268.709198,133.6395202,129.7831539,40.53707123,68.58732,274.6938016
2015,8,130.8597635,130.4464141,77.32317352,291.7728271,176.8030548,233.4258728,138.1202735,159.8959335,171.7394562,158.6809082,121.6232792,77.56551361,112.5822262,114.1885834,111.3391882,144.3470764,103.4314882,180.0874481,109.480217,122.4750303,137.5015259,156.5036163,224.0585938,60.20590772,113.9301027,51.3644371,48.03801,207.2780979
2015,9,173.7766342,178.1386193,100.2146988,457.0996704,205.3566437,134.4288025,236.2619759,141.8288475,263.0301819,165.8669586,108.8193614,85.25515747,69.66563546,124.5534821,121.9521186,190.6709442,108.0932973,315.6995239,147.7212524,167.7269069,279.8417358,171.9326782,393.2341003,96.43061547,99.5371197,56.28963852,53.91592,183.4581883
2015,10,124.7091129,125.752589,74.92292786,297.0511169,199.5713959,144.1845245,165.286775,110.9163098,231.9336853,187.6360016,96.28140198,45.60044479,64.78054517,95.38362122,114.5164451,126.6414032,69.64551103,174.1734314,130.8016357,121.1031264,155.6047058,110.7019272,244.8679504,87.33976499,103.8724264,26.35320473,66.73392,155.012836
2015,11,101.5203352,100.6778392,48.75554657,164.9832306,142.0007477,108.7883072,109.7876762,112.1184581,200.9758759,193.5543518,75.47580838,47.64637375,140.3667634,95.95144653,93.4471067,94.25080109,61.82760019,155.7232819,126.8819733,94.10266157,208.3819427,89.58369446,104.7490768,96.07801009,90.57217833,13.53306293,20.77662,133.5940241
2015,12,113.296984,117.1732776,67.13679504,330.6095276,128.3804169,180.4706726,129.2707501,174.5770015,206.3948669,127.0860672,94.48228992,77.32126617,75.83161605,86.65267181,96.65033356,172.0449982,99.41910654,195.3005981,144.3214417,111.7655438,164.4255524,101.9634323,151.6144867,94.53806507,105.4669435,30.0364666,67.08779,149.4905847
2016,1,149.8882927,147.678455,67.03876495,306.6892395,156.00354,156.043808,199.4747183,195.3499163,241.42453,203.995636,106.5175932,70.27962494,68.46469733,96.98987579,137.0992165,181.9397678,105.0620656,55.09549713,158.0782471,152.2574074,249.4154358,154.8573151,261.9420776,127.4782714,110.849344,53.31343842,56.09954,299.4461073
2016,2,155.0161272,155.0809097,97.05064392,224.2444611,186.6431732,109.269165,189.6435601,149.8780847,324.0465393,181.8609009,122.5198739,99.21338654,182.6058681,119.4819336,171.5822667,166.5955244,67.05438716,190.3695526,131.8761749,155.0566503,312.5996094,148.3217773,269.0191956,108.0552358,116.2317444,41.2522583,33.62654,339.6599285
